is_not_property,estimated_dollar_loss,ignition_source,longitude,latitude,hour
#052c66cb,0,NA,-79.58683178,43.64752711,10
#052c66cb,0,NA,-79.58683178,43.64752711,10
#052c66cb,0,NA,-79.34122115,43.64211312,13
#052c66cb,0,NA,-79.49958032,43.59890419,20
#052c66cb,0,NA,-79.45060108,43.6763042,1
#052c66cb,0,NA,-79.40699749,43.65137938,1
#052c66cb,0,NA,-79.53460209,43.70968422,15
#052c66cb,0,NA,-79.3758926,43.6724655,4
#052c66cb,0,NA,-79.37040716,43.67025835,6
#052c66cb,0,NA,-79.30406599,43.72288474,15
#052c66cb,0,NA,-79.28386847,43.77318785,21
#052c66cb,0,NA,-79.42650894,43.79125784,14
#052c66cb,0,NA,-79.51749313,43.69262539,16
#052c66cb,0,NA,-79.42805407,43.66148052,9
#052c66cb,0,NA,-79.50100431,43.63818685,18
#052c66cb,0,NA,-79.48326766,43.62051169,19
#052c66cb,0,NA,-79.31355684,43.6670302,19
#052c66cb,0,NA,-79.31907777,43.66424654,19
#052c66cb,0,NA,-79.31907777,43.66424654,19
#052c66cb,0,NA,-79.37238989,43.65817059,22
#052c66cb,0,NA,-79.28530953,43.76850382,22
#052c66cb,0,NA,-79.40268459,43.65609241,21
#052c66cb,0,NA,-79.31776415,43.77651478,12
#052c66cb,0,NA,-79.46026964,43.66496396,6
#052c66cb,0,NA,-79.52453525,43.64440684,6
#052c66cb,0,NA,-79.4812113,43.62296877,9
#052c66cb,0,NA,-79.35978022,43.68664327,22
#052c66cb,0,NA,-79.47104385,43.63695784,21
#052c66cb,0,NA,-79.37651681,43.67145651,16
#052c66cb,0,NA,-79.3857364,43.72649586,2
#052c66cb,0,NA,-79.26318678,43.82321376,6
#052c66cb,0,NA,-79.40387074,43.66665729,10
#052c66cb,0,NA,-79.3169567,43.72755056,2
#052c66cb,0,NA,-79.17392356,43.77115637,20
#052c66cb,0,NA,-79.38886912,43.66819668,21
#052c66cb,0,NA,-79.28444097,43.6712067,0
#052c66cb,0,NA,-79.3832038,43.65431885,2
#052c66cb,0,NA,-79.49256303,43.63021144,20
#052c66cb,0,NA,-79.3379999,43.71800501,20
#052c66cb,0,NA,-79.37473469,43.66068127,1
#052c66cb,0,NA,-79.43603744,43.63717638,23
#052c66cb,0,NA,-79.31401881,43.7543411,20
#052c66cb,0,NA,-79.43411316,43.66014527,11
#052c66cb,15000,999 - Undetermined,-79.51909147,43.73854515,11
#052c66cb,0,NA,-79.21441174,43.80296689,16
#052c66cb,0,NA,-79.39867951,43.6520599,18
#052c66cb,10000,81 - Vehicle - Electrical,-79.27295965,43.75391371,21
#052c66cb,0,NA,-79.38136264,43.66670274,12
#052c66cb,0,NA,-79.38948938,43.65752957,11
#052c66cb,0,NA,-79.30308602,43.72308562,16
#052c66cb,0,NA,-79.4382404,43.75449369,16
#052c66cb,0,NA,-79.3720338,43.66071283,19
#052c66cb,0,NA,-79.37956802,43.6724289,20
red,700000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.43734874,43.68371844,5
#052c66cb,0,NA,-79.34889483,43.65665829,9
#052c66cb,0,NA,-79.34756011,43.65649518,10
red,5000,43 - Clothes Dryer,-79.46991465,43.63721059,13
red,5000,"11 - Stove, Range-top burner",-79.56124661,43.69310739,19
red,1500,12 - Oven,-79.41007551,43.76798469,22
#052c66cb,0,NA,-79.38328361,43.64050153,22
red,0,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.44939205,43.66129298,17
#052c66cb,20000,81 - Vehicle - Electrical,-79.48326766,43.62051169,22
#052c66cb,0,NA,-79.39571853,43.65226466,4
#052c66cb,300,999 - Undetermined,-79.50897985,43.72236417,7
red,300000,999 - Undetermined,-79.47250632,43.7722115,8
red,10000,"19 - Other Cooking Items (eg Toaster, Kettle, elec frying pan)",-79.51880624,43.74198369,11
#052c66cb,5000,82 - Vehicle - Mechanical,-79.29249648,43.71351685,14
red,50000,36 - Fireplace - Masonry,-79.42701142,43.72145349,19
#052c66cb,0,NA,-79.36732253,43.66767633,8
#052c66cb,0,NA,-79.48853973,43.66564155,20
red,5000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.43194753,43.65091901,21
red,200,999 - Undetermined,-79.38495387,43.66584042,17
#052c66cb,0,NA,-79.41747976,43.68105182,18
#052c66cb,0,NA,-79.2329791,43.77954463,18
#052c66cb,0,NA,-79.37144422,43.65589584,20
#052c66cb,0,NA,-79.50505628,43.63218281,21
#052c66cb,0,NA,-79.30975283,43.66339677,22
#052c66cb,0,NA,-79.40290941,43.65308869,23
red,5000,"19 - Other Cooking Items (eg Toaster, Kettle, elec frying pan)",-79.4748724,43.68183448,2
#052c66cb,0,NA,-79.55968983,43.71331806,12
#052c66cb,0,NA,-79.23322124,43.76055243,14
red,100000,21 - Transformer,-79.58866386,43.68177297,15
red,500,999 - Undetermined,-79.57040938,43.67633852,17
#052c66cb,0,NA,-79.57706646,43.69021218,18
#052c66cb,0,NA,-79.2871969,43.71069983,18
red,300,999 - Undetermined,-79.33887388,43.72050081,2
#052c66cb,80000,82 - Vehicle - Mechanical,-79.44099603,43.67299027,13
#052c66cb,0,NA,-79.47568776,43.62924377,13
red,15000,"11 - Stove, Range-top burner",-79.58942326,43.73202269,13
#052c66cb,0,NA,-79.33453443,43.68886872,14
#052c66cb,0,NA,-79.37145847,43.6718889,15
red,25000,16 - Deep Fat Fryer,-79.51257602,43.74167956,12
red,100,76 - Lighters (open flame),-79.41025017,43.64101279,12
#052c66cb,0,NA,-79.48943413,43.65816131,13
#052c66cb,0,NA,-79.19852216,43.76321229,14
red,100,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.55547703,43.67421768,15
#052c66cb,500,999 - Undetermined,-79.39413352,43.70760132,3
#052c66cb,70000,9990 - Under Investigation,-79.38205611,43.6683486,4
#052c66cb,0,999 - Undetermined,-79.37306178,43.66319002,4
#052c66cb,0,NA,-79.26966199,43.70444761,5
#052c66cb,0,NA,-79.3850215,43.64477561,17
#052c66cb,10000,82 - Vehicle - Mechanical,-79.46561417,43.66786207,18
#052c66cb,100000,9990 - Under Investigation,-79.28825178,43.75585125,21
red,5000,999 - Undetermined,-79.36829878,43.66505747,13
red,4000,"93 - Hot Ashes, Embers, Spark",-79.29674148,43.74246368,15
#052c66cb,0,NA,-79.51074628,43.73482952,0
#052c66cb,0,NA,-79.4130821,43.78231348,22
#052c66cb,0,NA,-79.41560903,43.65495191,19
red,6000,83 - Other Electrical,-79.39441946,43.71207101,21
red,10000,"73 - Blow Torch, Bunsen Burner",-79.2396321,43.79745503,23
red,10000,9990 - Under Investigation,-79.18226361,43.76220545,23
red,500,999 - Undetermined,-79.44842774,43.66150553,4
#052c66cb,20000,999 - Undetermined,-79.39841861,43.64832582,4
red,10000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.52060172,43.76143308,4
red,5000,84 - Other Mechanical,-79.4020205,43.66838942,5
red,20000,999 - Undetermined,-79.40657342,43.75650108,6
red,0,999 - Undetermined,-79.51380034,43.71983033,6
#052c66cb,2000,999 - Undetermined,-79.39606022,43.63790544,7
red,90000,43 - Clothes Dryer,-79.31039405,43.79103955,13
#052c66cb,0,NA,-79.30223926,43.79528333,16
#052c66cb,20000,999 - Undetermined,-79.33660377,43.65893289,16
red,20000,72 - Cutting/Welding Equipment,-79.57300473,43.70257995,17
#052c66cb,20000,999 - Undetermined,-79.16214411,43.78875817,20
#052c66cb,0,NA,-79.26672151,43.76527887,1
#052c66cb,100,98 - Other,-79.47850193,43.7279765,2
#052c66cb,300,999 - Undetermined,-79.4837019,43.7262809,3
red,85000,83 - Other Electrical,-79.48875015,43.74059247,5
red,25000,52 - Florescent Lamp (includes ballast),-79.3972391,43.65090227,17
#052c66cb,0,NA,-79.40699749,43.65137938,20
red,5000,14 - Open Fired Barbeque - Fixed or Portable,-79.4814247,43.67522852,16
red,500,999 - Undetermined,-79.42413915,43.63759363,17
red,300,"11 - Stove, Range-top burner",-79.36986679,43.666943,18
red,500,32 - Water Heater,-79.31874451,43.66864517,20
red,200,999 - Undetermined,-79.37834705,43.66628531,23
#052c66cb,2500,76 - Lighters (open flame),-79.36273923,43.65407806,6
red,150,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.21972718,43.74510316,10
red,5000,72 - Cutting/Welding Equipment,-79.44878763,43.71864941,16
red,50000,81 - Vehicle - Electrical,-79.25091451,43.77657798,7
#052c66cb,30000,999 - Undetermined,-79.30121635,43.7748406,10
red,5000,999 - Undetermined,-79.4901642,43.69642917,13
red,10000,12 - Oven,-79.55171226,43.67893707,14
#052c66cb,0,NA,-79.28036989,43.68470281,15
#052c66cb,0,NA,-79.49190002,43.69160145,16
#052c66cb,0,NA,-79.41522677,43.74128791,13
red,10000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.46637926,43.71049461,7
red,100000,"11 - Stove, Range-top burner",-79.43168085,43.65274341,9
red,100000,56 - Halogen Lamp or light,-79.30680027,43.6969642,13
red,50,55 - Candle,-79.51587953,43.69883573,10
red,5000,14 - Open Fired Barbeque - Fixed or Portable,-79.24554606,43.79077524,13
red,20000,31 - Central Heating/Cooling Unit,-79.5532924,43.66410584,15
#052c66cb,0,NA,-79.5319777,43.73097809,17
red,500,999 - Undetermined,-79.21891354,43.74318201,15
red,1000,77 - Matches or Lighters (unable to distinguish),-79.27712168,43.69632269,7
#052c66cb,83500,999 - Undetermined,-79.44219214,43.74710482,16
red,500,"42 - Television, Radio, Stereo, Tape Recorder, etc.",-79.53290224,43.65680108,17
red,0,"11 - Stove, Range-top burner",-79.52580066,43.63833934,14
red,100,72 - Cutting/Welding Equipment,-79.54420962,43.71349174,16
#052c66cb,0,NA,-79.41724439,43.64099162,4
#052c66cb,0,NA,-79.34122115,43.64211312,9
#052c66cb,0,NA,-79.35593133,43.64899184,8
#052c66cb,0,NA,-79.35776038,43.65709729,10
#052c66cb,0,NA,-79.30623971,43.74724185,13
#052c66cb,0,NA,-79.53602784,43.71296224,14
red,5000,999 - Undetermined,-79.43720148,43.63363693,16
#052c66cb,0,NA,-79.38875583,43.79346942,20
#052c66cb,10000,999 - Undetermined,-79.45765339,43.7269957,16
#052c66cb,0,NA,-79.38892291,43.64041484,19
#052c66cb,0,NA,-79.3379999,43.71800501,19
#052c66cb,0,NA,-79.54887706,43.72367537,20
#052c66cb,7000,82 - Vehicle - Mechanical,-79.48058653,43.70023426,21
#052c66cb,0,NA,-79.42205998,43.6627783,1
red,1000,55 - Candle,-79.48978685,43.6127307,8
#052c66cb,0,NA,-79.449375559999993,43.75674255,12
red,750000,79 - Other Open Flame Tools/Smokers' Articles,-79.42395966,43.65412246,15
#052c66cb,0,NA,-79.42117005,43.78489957,17
red,500,33 - Space Heater - Fixed,-79.39840313,43.65082753,18
#052c66cb,0,NA,-79.36585155,43.7792366,20
#052c66cb,0,NA,-79.43733687,43.75076348,22
red,200000,999 - Undetermined,-79.20312128,43.74608571,23
red,0,999 - Undetermined,-79.49920745,43.66552417,1
#052c66cb,30000,82 - Vehicle - Mechanical,-79.31057745,43.74437767,16
red,10000,55 - Candle,-79.25755099,43.74431416,18
red,15000,999 - Undetermined,-79.39931561,43.6561021,15
red,30000,83 - Other Electrical,-79.33731638,43.71655362,19
#052c66cb,0,NA,-79.30084797,43.77399306,20
#052c66cb,0,NA,-79.31944662,43.7492354,21
#052c66cb,0,NA,-79.22425556,43.73233678,21
red,10000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.42724136,43.65342516,1
red,500,999 - Undetermined,-79.44802582,43.74846864,10
#052c66cb,0,NA,-79.609071170000007,43.75368103,20
#052c66cb,0,NA,-79.45066802,43.6942229,14
red,1,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.38008674,43.655909,15
red,10000,24 - Circuit Wiring - Copper,-79.36520053,43.66739101,17
red,10000,999 - Undetermined,-79.41630347,43.64472561,4
#052c66cb,0,NA,-79.27424609,43.73883015,8
#052c66cb,0,NA,-79.60147424,43.69974642,9
red,200000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.39047542,43.69860151,12
#052c66cb,0,NA,-79.38871776,43.64396957,13
#052c66cb,0,NA,-79.45951334,43.7510839,14
#052c66cb,100,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.44717077,43.69471745,17
red,0,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.53284237,43.64315617,18
#052c66cb,0,NA,-79.18811649,43.77676705,19
red,30,35 - Fireplace - Factory Built,-79.41311042,43.77013908,21
#052c66cb,0,NA,-79.58816523,43.74631494,23
#052c66cb,0,NA,-79.38512025,43.6571497,1
red,20000,79 - Other Open Flame Tools/Smokers' Articles,-79.34722981,43.76175187,5
red,500,999 - Undetermined,-79.39590261,43.65870042,6
#052c66cb,0,NA,-79.16619703,43.80904669,21
red,100000,20 - Service/Utility Lines (includes power/hydro transmission lines),-79.38145787,43.65922466,9
#052c66cb,0,NA,-79.40320031,43.65738288,9
red,1000,"11 - Stove, Range-top burner",-79.36712847,43.64866878,9
#052c66cb,0,NA,-79.56027503,43.60941944,13
red,150000,999 - Undetermined,-79.26980827,43.71108132,13
#052c66cb,0,NA,-79.18240569,43.76762446,14
red,0,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.50272825,43.61854268,16
#052c66cb,0,NA,-79.43441667,43.7469298,16
red,1000,"26 - Terminations-Copper (incl receptacles, switches, lights)",-79.43760788,43.65942643,21
#052c66cb,0,NA,-79.57830983,43.73550449,22
red,400,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.35366513,43.68950624,22
#052c66cb,0,NA,-79.42685837,43.66173655,3
red,1000000,9990 - Under Investigation,-79.44538111,43.79082759,20
red,1500,"108 - Exposure, source other",-79.52381568,43.64550979,11
#052c66cb,10000,79 - Other Open Flame Tools/Smokers' Articles,-79.25053649,43.77666814,12
red,2000,81 - Vehicle - Electrical,-79.336351,43.71440369,19
red,10000,999 - Undetermined,-79.37764826,43.64852348,4
#052c66cb,0,NA,-79.28551098,43.6918604,16
#052c66cb,0,NA,-79.19107369,43.76598284,17
red,20000,"93 - Hot Ashes, Embers, Spark",-79.17355879,43.77649561,17
#052c66cb,150000,82 - Vehicle - Mechanical,-79.59582526,43.71731807,20
red,0,999 - Undetermined,-79.20562856,43.76404977,22
red,100,999 - Undetermined,-79.49502887,43.66526483,2
#052c66cb,0,NA,-79.62202508,43.74687597,2
red,100000,999 - Undetermined,-79.41245444,43.64334142,4
#052c66cb,0,55 - Candle,-79.41397694,43.6452054,10
#052c66cb,0,NA,-79.32350614,43.69125544,14
red,2000,12 - Oven,-79.40352135,43.73551525,15
